"User Story Number","User Story Description","Feature Number","Feature Description"
"US-131","As a HUD admin, I want a document workflow dashboard, so that document statuses are centrally managed.","F-1","Display list of documents with current workflow stage"
"US-131","As a HUD admin, I want a document workflow dashboard, so that document statuses are centrally managed.","F-2","Provide actions: approve, reject, request changes"
"US-131","As a HUD admin, I want a document workflow dashboard, so that document statuses are centrally managed.","F-3","Highlight overdue workflow tasks"
"US-131","As a HUD admin, I want a document workflow dashboard, so that document statuses are centrally managed.","F-4","Filter by stage, owner, date"
"US-131","As a HUD admin, I want a document workflow dashboard, so that document statuses are centrally managed.","F-5","Log every status change"
"US-132","As a HUD admin, I want to monitor the NCF queue, so that pending document packages are processed timely.","F-1","Show NCF queue count on dashboard"
"US-132","As a HUD admin, I want to monitor the NCF queue, so that pending document packages are processed timely.","F-2","List queued items with submitter, date, priority"
"US-132","As a HUD admin, I want to monitor the NCF queue, so that pending document packages are processed timely.","F-3","Allow claim of queue item for processing"
"US-132","As a HUD admin, I want to monitor the NCF queue, so that pending document packages are processed timely.","F-4","Refresh queue list every 60 seconds"
"US-132","As a HUD admin, I want to monitor the NCF queue, so that pending document packages are processed timely.","F-5","Audit claim and completion actions"
"US-133","As a HUD admin, I want a Borrower-specific new document wizard, so that borrower documents are added consistently.","F-1","Launch wizard from Borrowers tab"
"US-133","As a HUD admin, I want a Borrower-specific new document wizard, so that borrower documents are added consistently.","F-2","Step 1: select document type template"
"US-133","As a HUD admin, I want a Borrower-specific new document wizard, so that borrower documents are added consistently.","F-3","Step 2: upload file and capture description"
"US-133","As a HUD admin, I want a Borrower-specific new document wizard, so that borrower documents are added consistently.","F-4","Validate file size and type before submit"
"US-133","As a HUD admin, I want a Borrower-specific new document wizard, so that borrower documents are added consistently.","F-5","Save doc and link to borrower record"
"US-134","As a HUD admin, I want a general new document wizard, so that any loan document can be uploaded with guidance.","F-1","Provide wizard accessible from Documents tab"
"US-134","As a HUD admin, I want a general new document wizard, so that any loan document can be uploaded with guidance.","F-2","Guide user through type selection, metadata entry, upload"
"US-134","As a HUD admin, I want a general new document wizard, so that any loan document can be uploaded with guidance.","F-3","Enforce mandatory metadata fields"
"US-134","As a HUD admin, I want a general new document wizard, so that any loan document can be uploaded with guidance.","F-4","Display progress bar during upload"
"US-134","As a HUD admin, I want a general new document wizard, so that any loan document can be uploaded with guidance.","F-5","Confirm completion with document ID"
"US-135","As a HUD admin, I want to use a servicing search screen, so that I can locate servicing activities quickly.","F-1","Provide global servicing search field with auto-complete"
"US-135","As a HUD admin, I want to use a servicing search screen, so that I can locate servicing activities quickly.","F-2","Support filters: loan number, activity type, date range"
"US-135","As a HUD admin, I want to use a servicing search screen, so that I can locate servicing activities quickly.","F-3","Show results grid with clickable activity links"
"US-135","As a HUD admin, I want to use a servicing search screen, so that I can locate servicing activities quickly.","F-4","Remember last search criteria per session"
"US-135","As a HUD admin, I want to use a servicing search screen, so that I can locate servicing activities quickly.","F-5","Log each search query"
"US-136","As a HUD admin, I want servicing search action buttons, so that I can act on results without extra navigation.","F-1","Add buttons: View, Edit, Inactivate next to each result"
"US-136","As a HUD admin, I want servicing search action buttons, so that I can act on results without extra navigation.","F-2","Enable/disable buttons based on user permissions"
"US-136","As a HUD admin, I want servicing search action buttons, so that I can act on results without extra navigation.","F-3","Trigger respective screens on click"
"US-136","As a HUD admin, I want servicing search action buttons, so that I can act on results without extra navigation.","F-4","Show tooltip descriptions for each button"
"US-136","As a HUD admin, I want servicing search action buttons, so that I can act on results without extra navigation.","F-5","Record button usage in audit log"
"US-137","As a HUD admin, I want to add a new servicing activity, so that additional service tasks are tracked.","F-1","Provide “Add Activity” button on Servicing tab"
"US-137","As a HUD admin, I want to add a new servicing activity, so that additional service tasks are tracked.","F-2","Capture activity type, start date, assigned user"
"US-137","As a HUD admin, I want to add a new servicing activity, so that additional service tasks are tracked.","F-3","Default status to Active"
"US-137","As a HUD admin, I want to add a new servicing activity, so that additional service tasks are tracked.","F-4","Save activity and refresh timeline"
"US-137","As a HUD admin, I want to add a new servicing activity, so that additional service tasks are tracked.","F-5","Notify assigned user via email"
"US-138","As a HUD admin, I want to add a new servicing step, so that detailed task progress is documented.","F-1","Offer “Add Step” within activity view"
"US-138","As a HUD admin, I want to add a new servicing step, so that detailed task progress is documented.","F-2","Require step description, due date, owner"
"US-138","As a HUD admin, I want to add a new servicing step, so that detailed task progress is documented.","F-3","Save step under parent activity"
"US-138","As a HUD admin, I want to add a new servicing step, so that detailed task progress is documented.","F-4","Display step in chronological list"
"US-138","As a HUD admin, I want to add a new servicing step, so that detailed task progress is documented.","F-5","Log creation event"
"US-139","As a HUD admin, I want to edit a servicing step, so that corrections can be made to task details.","F-1","Provide “Edit” icon on each step row"
"US-139","As a HUD admin, I want to edit a servicing step, so that corrections can be made to task details.","F-2","Allow update of description, due date, owner, status"
"US-139","As a HUD admin, I want to edit a servicing step, so that corrections can be made to task details.","F-3","Validate dates and required fields"
"US-139","As a HUD admin, I want to edit a servicing step, so that corrections can be made to task details.","F-4","Persist changes and refresh list"
"US-139","As a HUD admin, I want to edit a servicing step, so that corrections can be made to task details.","F-5","Audit before/after values"
"US-140","As a HUD admin, I want to inactivate a servicing step, so that obsolete tasks are hidden but retained historically.","F-1","Offer “Inactivate” action with confirmation modal"
"US-140","As a HUD admin, I want to inactivate a servicing step, so that obsolete tasks are hidden but retained historically.","F-2","Change step status to Inactive in DB"
"US-140","As a HUD admin, I want to inactivate a servicing step, so that obsolete tasks are hidden but retained historically.","F-3","Hide inactive steps by default; show when filter toggled"
"US-140","As a HUD admin, I want to inactivate a servicing step, so that obsolete tasks are hidden but retained historically.","F-4","Reflect change in parent activity progress bar"
"US-140","As a HUD admin, I want to inactivate a servicing step, so that obsolete tasks are hidden but retained historically.","F-5","Log inactivation timestamp and user"
"US-141","As a HUD admin, I want a bankruptcy search screen, so that I locate bankruptcy cases efficiently.","F-1","Provide search fields: case number, borrower name, loan #"
"US-141","As a HUD admin, I want a bankruptcy search screen, so that I locate bankruptcy cases efficiently.","F-2","Include date-range and chapter dropdown filters"
"US-141","As a HUD admin, I want a bankruptcy search screen, so that I locate bankruptcy cases efficiently.","F-3","Display results grid with case status"
"US-141","As a HUD admin, I want a bankruptcy search screen, so that I locate bankruptcy cases efficiently.","F-4","Allow export of result set"
"US-141","As a HUD admin, I want a bankruptcy search screen, so that I locate bankruptcy cases efficiently.","F-5","Record search parameters in audit"
"US-142","As a HUD admin, I want quick-action buttons on bankruptcy search results, so that I can open or edit cases instantly.","F-1","Add “View Case” and “Edit Case” buttons per row"
"US-142","As a HUD admin, I want quick-action buttons on bankruptcy search results, so that I can open or edit cases instantly.","F-2","Check user permissions before enabling buttons"
"US-142","As a HUD admin, I want quick-action buttons on bankruptcy search results, so that I can open or edit cases instantly.","F-3","Navigate to corresponding case screen on click"
"US-142","As a HUD admin, I want quick-action buttons on bankruptcy search results, so that I can open or edit cases instantly.","F-4","Display hover tooltip with description"
"US-142","As a HUD admin, I want quick-action buttons on bankruptcy search results, so that I can open or edit cases instantly.","F-5","Audit button usage"
"US-143","As a HUD admin, I want to add a new bankruptcy activity, so that bankruptcy events are accurately tracked.","F-1","Provide “Add Bankruptcy Activity” button on Bankruptcy tab"
"US-143","As a HUD admin, I want to add a new bankruptcy activity, so that bankruptcy events are accurately tracked.","F-2","Capture chapter, filing date, court, attorney"
"US-143","As a HUD admin, I want to add a new bankruptcy activity, so that bankruptcy events are accurately tracked.","F-3","Set initial status to Active"
"US-143","As a HUD admin, I want to add a new bankruptcy activity, so that bankruptcy events are accurately tracked.","F-4","Save activity and refresh activity list"
"US-143","As a HUD admin, I want to add a new bankruptcy activity, so that bankruptcy events are accurately tracked.","F-5","Notify bankruptcy specialist via email"
"US-144","As a HUD admin, I want to add a new bankruptcy step, so that sub-tasks within a bankruptcy activity are managed.","F-1","Offer “Add Step” option within activity view"
"US-144","As a HUD admin, I want to add a new bankruptcy step, so that sub-tasks within a bankruptcy activity are managed.","F-2","Require step description, due date, owner"
"US-144","As a HUD admin, I want to add a new bankruptcy step, so that sub-tasks within a bankruptcy activity are managed.","F-3","Validate fields and save under parent activity"
"US-144","As a HUD admin, I want to add a new bankruptcy step, so that sub-tasks within a bankruptcy activity are managed.","F-4","Display new step in order of due date"
"US-144","As a HUD admin, I want to add a new bankruptcy step, so that sub-tasks within a bankruptcy activity are managed.","F-5","Audit creation event"
"US-145","As a HUD admin, I want servicing management dashboards, so that I oversee demand tracking and payoff requests centrally.","F-1","Display separate tabs for Demand Tracking and Payoff Request"
"US-145","As a HUD admin, I want servicing management dashboards, so that I oversee demand tracking and payoff requests centrally.","F-2","Show counts of active vs inactive activities"
"US-145","As a HUD admin, I want servicing management dashboards, so that I oversee demand tracking and payoff requests centrally.","F-3","Provide quick filters and column sorting"
"US-145","As a HUD admin, I want servicing management dashboards, so that I oversee demand tracking and payoff requests centrally.","F-4","Color-code activities by aging thresholds"
"US-145","As a HUD admin, I want servicing management dashboards, so that I oversee demand tracking and payoff requests centrally.","F-5","Log dashboard access"
"US-146","As a HUD admin, I want bankruptcy management dashboards, so that I monitor all bankruptcy activities in one place.","F-1","List active and inactive bankruptcy activities with status badges"
"US-146","As a HUD admin, I want bankruptcy management dashboards, so that I monitor all bankruptcy activities in one place.","F-2","Provide filters by chapter, attorney, aging"
"US-146","As a HUD admin, I want bankruptcy management dashboards, so that I monitor all bankruptcy activities in one place.","F-3","Enable bulk export to Excel"
"US-146","As a HUD admin, I want bankruptcy management dashboards, so that I monitor all bankruptcy activities in one place.","F-4","Highlight activities missing next step"
"US-146","As a HUD admin, I want bankruptcy management dashboards, so that I monitor all bankruptcy activities in one place.","F-5","Record dashboard access in audit log"
"US-147","As a SMART user, I want to reach the SMART landing page in a browser, so that I can begin the login process.","F-1","Render landing page at https://smart.hudnsc.org over HTTPS."
"US-147","As a SMART user, I want to reach the SMART landing page in a browser, so that I can begin the login process.","F-2","Display input fields for User Name and Password."
"US-147","As a SMART user, I want to reach the SMART landing page in a browser, so that I can begin the login process.","F-3","Show unauthorized-access warning banner on page load."
"US-148","As a SMART user, I want to log in with my user name and password, so that I can access SMART functions.","F-1","Validate entered credentials against user store."
"US-148","As a SMART user, I want to log in with my user name and password, so that I can access SMART functions.","F-2","Redirect authenticated user to MFA setup or home page."
"US-148","As a SMART user, I want to log in with my user name and password, so that I can access SMART functions.","F-3","Lock account after 5 consecutive failed login attempts."
"US-149","As a SMART user, I want to complete multi-factor authentication on first login, so that my account is secured.","F-1","Trigger MFA setup pop-up immediately after initial credential login."
"US-149","As a SMART user, I want to complete multi-factor authentication on first login, so that my account is secured.","F-2","Support delivery of one-time code via configured MFA method."
"US-149","As a SMART user, I want to complete multi-factor authentication on first login, so that my account is secured.","F-3","Grant access only after correct one-time code is confirmed."
"US-150","As an administrator, I want SMART to support desktop resolutions of 1920×1080 or higher, so that users have an optimal view.","F-1","Detect client resolution on page load."
"US-150","As an administrator, I want SMART to support desktop resolutions of 1920×1080 or higher, so that users have an optimal view.","F-2","Display warning banner when resolution <1920×1080."
"US-150","As an administrator, I want SMART to support desktop resolutions of 1920×1080 or higher, so that users have an optimal view.","F-3","Allow login only after user acknowledges the warning."
"US-151","As an administrator, I want to block devices with screens 760 px wide or less, so that unsupported mobiles cannot access SMART.","F-1","Read client viewport width during session initiation."
"US-151","As an administrator, I want to block devices with screens 760 px wide or less, so that unsupported mobiles cannot access SMART.","F-2","Redirect widths ≤760 px to an “unsupported device” page."
"US-151","As an administrator, I want to block devices with screens 760 px wide or less, so that unsupported mobiles cannot access SMART.","F-3","Log each blocked attempt with device details."
"US-152","As a SMART user, I want to access SMART from IE, Chrome, or Firefox browsers, so that I can use my preferred browser.","F-1","Verify browser user-agent against approved list on login."
"US-152","As a SMART user, I want to access SMART from IE, Chrome, or Firefox browsers, so that I can use my preferred browser.","F-2","Display incompatibility message for unapproved browsers."
"US-152","As a SMART user, I want to access SMART from IE, Chrome, or Firefox browsers, so that I can use my preferred browser.","F-3","Maintain analytics of browser usage in system log."
"US-153","As a lender, I want to query and review detailed loan information, so that I can assess individual loans.","F-1","Provide search fields for loan number, borrower, and status."
"US-153","As a lender, I want to query and review detailed loan information, so that I can assess individual loans.","F-2","Return data grid with sortable loan attributes."
"US-153","As a lender, I want to query and review detailed loan information, so that I can assess individual loans.","F-3","Open loan detail view on row selection."
"US-154","As a lender, I want to add a new loan record, so that new mortgages are captured in SMART.","F-1","Display “Add Loan” form with mandatory validation."
"US-154","As a lender, I want to add a new loan record, so that new mortgages are captured in SMART.","F-2","Persist new loan to database upon save."
"US-154","As a lender, I want to add a new loan record, so that new mortgages are captured in SMART.","F-3","Show success confirmation with new loan ID."
"US-155","As a lender, I want to edit existing loan information, so that loan records stay accurate.","F-1","Enable “Edit” mode from loan detail screen."
"US-155","As a lender, I want to edit existing loan information, so that loan records stay accurate.","F-2","Track field-level changes in audit log."
"US-155","As a lender, I want to edit existing loan information, so that loan records stay accurate.","F-3","Save updates after passing validation rules."
"US-156","As a servicing specialist, I want to assign a servicing template to a loan, so that standard servicing steps are scheduled.","F-1","List available templates in drop-down selector."
"US-156","As a servicing specialist, I want to assign a servicing template to a loan, so that standard servicing steps are scheduled.","F-2","Apply selected template to chosen loan on confirmation."
"US-156","As a servicing specialist, I want to assign a servicing template to a loan, so that standard servicing steps are scheduled.","F-3","Record assignment date and user in history log."
"US-157","As a servicing specialist, I want to track the status of each servicing template, so that I know current progress.","F-1","Display template step list with status icons."
"US-157","As a servicing specialist, I want to track the status of each servicing template, so that I know current progress.","F-2","Auto-update status when a step is completed."
"US-157","As a servicing specialist, I want to track the status of each servicing template, so that I know current progress.","F-3","Allow filtering by completed, pending, overdue."
"US-158","As a servicing specialist, I want to generate servicing forms and letters, so that required borrower communications are produced.","F-1","Provide “Generate Forms” button on servicing view."
"US-158","As a servicing specialist, I want to generate servicing forms and letters, so that required borrower communications are produced.","F-2","Merge loan data into pre-defined document templates."
"US-158","As a servicing specialist, I want to generate servicing forms and letters, so that required borrower communications are produced.","F-3","Offer download in PDF format after generation."
"US-159","As a bankruptcy specialist, I want to add and maintain bankruptcy information for a loan, so that legal statuses are recorded.","F-1","Present bankruptcy data entry form with chapter selection."
"US-159","As a bankruptcy specialist, I want to add and maintain bankruptcy information for a loan, so that legal statuses are recorded.","F-2","Save new bankruptcy record tied to loan ID."
"US-159","As a bankruptcy specialist, I want to add and maintain bankruptcy information for a loan, so that legal statuses are recorded.","F-3","Display confirmation and update loan status to “Bankruptcy”."
"US-160","As a bankruptcy specialist, I want to track bankruptcy progress, so that court deadlines are met.","F-1","Show bankruptcy timeline with upcoming milestones."
"US-160","As a bankruptcy specialist, I want to track bankruptcy progress, so that court deadlines are met.","F-2","Highlight overdue tasks in red."
"US-160","As a bankruptcy specialist, I want to track bankruptcy progress, so that court deadlines are met.","F-3","Send email alerts seven days before each milestone."
"US-161","As a bankruptcy specialist, I want to edit bankruptcy records, so that changes are reflected accurately.","F-1","Enable inline editing of bankruptcy fields."
"US-161","As a bankruptcy specialist, I want to edit bankruptcy records, so that changes are reflected accurately.","F-2","Validate edits against business rules before save."
"US-161","As a bankruptcy specialist, I want to edit bankruptcy records, so that changes are reflected accurately.","F-3","Log old and new values in audit trail."
"US-162","As a foreclosure specialist, I want to view a timeline of required foreclosure steps, so that I can plan actions.","F-1","Render chronological step view with due dates."
"US-162","As a foreclosure specialist, I want to view a timeline of required foreclosure steps, so that I can plan actions.","F-2","Collapse or expand step groups."
"US-162","As a foreclosure specialist, I want to view a timeline of required foreclosure steps, so that I can plan actions.","F-3","Provide quick link from each step to related documents."
"US-163","As a foreclosure specialist, I want to track scheduled versus completed foreclosure activity, so that compliance is monitored.","F-1","Update step status when completion date is entered."
"US-163","As a foreclosure specialist, I want to track scheduled versus completed foreclosure activity, so that compliance is monitored.","F-2","Calculate days variance between scheduled and actual."
"US-163","As a foreclosure specialist, I want to track scheduled versus completed foreclosure activity, so that compliance is monitored.","F-3","Export activity report to Excel."
"US-164","As a release specialist, I want to initiate the loan release process for satisfied loans, so that liens can be released.","F-1","Offer “Initiate Release” button when payoff flag is true."
"US-164","As a release specialist, I want to initiate the loan release process for satisfied loans, so that liens can be released.","F-2","Create initial release record with status “Open”."
"US-164","As a release specialist, I want to initiate the loan release process for satisfied loans, so that liens can be released.","F-3","Notify assigned user via email of new release request."
"US-165","As a release specialist, I want to track mortgage release status, so that progress is visible to stakeholders.","F-1","Display status column on release dashboard."
"US-165","As a release specialist, I want to track mortgage release status, so that progress is visible to stakeholders.","F-2","Update status automatically when required documents are uploaded."
"US-165","As a release specialist, I want to track mortgage release status, so that progress is visible to stakeholders.","F-3","Allow filtering by status (Open, Pending, Complete)."
"US-166","As a release specialist, I want to generate mortgage release forms and letters, so that proper documentation is available.","F-1","Provide “Generate Release Docs” action within release record."
"US-166","As a release specialist, I want to generate mortgage release forms and letters, so that proper documentation is available.","F-2","Populate borrower and property data into templates."
"US-166","As a release specialist, I want to generate mortgage release forms and letters, so that proper documentation is available.","F-3","Save generated documents to loan’s document repository."
"US-167","As a cash manager, I want to track incoming payments from Pay.Gov, so that receipts are reconciled.","F-1","Import Pay.Gov transactions nightly via API."
"US-167","As a cash manager, I want to track incoming payments from Pay.Gov, so that receipts are reconciled.","F-2","Display unmatched payments on dashboard."
"US-167","As a cash manager, I want to track incoming payments from Pay.Gov, so that receipts are reconciled.","F-3","Reconcile payment once matched to loan."
"US-168","As a cash manager, I want to manage incoming payments, so that funds are correctly allocated.","F-1","Allow manual adjustment of payment amount or allocation."
"US-168","As a cash manager, I want to manage incoming payments, so that funds are correctly allocated.","F-2","Post adjusted payments to general ledger."
"US-168","As a cash manager, I want to manage incoming payments, so that funds are correctly allocated.","F-3","Generate receipt confirmation for borrower."
"US-169","As a cash manager, I want to submit disbursement checks, so that funds are paid out appropriately.","F-1","Provide form to enter payee, amount, and reason."
"US-169","As a cash manager, I want to submit disbursement checks, so that funds are paid out appropriately.","F-2","Queue check in “Pending Treasury” status on save."
"US-169","As a cash manager, I want to submit disbursement checks, so that funds are paid out appropriately.","F-3","Mark check as “Submitted” when exported to batch file."
"US-170","As a cash manager, I want to search for transactions, so that I can audit financial activity.","F-1","Offer search filters for loan, date range, amount, and type."
"US-170","As a cash manager, I want to search for transactions, so that I can audit financial activity.","F-2","Return paginated results with export to CSV."
"US-170","As a cash manager, I want to search for transactions, so that I can audit financial activity.","F-3","Persist last used search criteria in user session."
"US-171","As an accountant, I want to review TROR and Trial Balance reports, so that accounts are reconciled.","F-1","Generate TROR report for selected fiscal period."
"US-171","As an accountant, I want to review TROR and Trial Balance reports, so that accounts are reconciled.","F-2","Generate Trial Balance with drill-down to transaction level."
"US-171","As an accountant, I want to review TROR and Trial Balance reports, so that accounts are reconciled.","F-3","Allow export to PDF and Excel formats."
"US-172","As a customer service agent, I want to create a ticket, so that borrower issues are logged.","F-1","Display “New Ticket” modal with required fields."
"US-172","As a customer service agent, I want to create a ticket, so that borrower issues are logged.","F-2","Persist ticket with unique reference number."
"US-172","As a customer service agent, I want to create a ticket, so that borrower issues are logged.","F-3","Send confirmation email to agent and borrower."
"US-173","As a customer service agent, I want to view a ticket, so that I can see its details and history.","F-1","Show ticket header, description, status, and priority."
"US-173","As a customer service agent, I want to view a ticket, so that I can see its details and history.","F-2","List associated call logs and actions chronologically."
"US-173","As a customer service agent, I want to view a ticket, so that I can see its details and history.","F-3","Provide breadcrumb navigation back to ticket list."
"US-174","As a customer service agent, I want to edit or update a ticket, so that information remains current.","F-1","Enable editing of status, owner, and description fields."
"US-174","As a customer service agent, I want to edit or update a ticket, so that information remains current.","F-2","Record each update in ticket history with time stamp."
"US-174","As a customer service agent, I want to edit or update a ticket, so that information remains current.","F-3","Restrict edits to users with “Ticket Edit” role."
"US-175","As a customer service agent, I want to create a call log for a ticket, so that communications are documented.","F-1","Provide “Add Call Log” form with date/time and notes."
"US-175","As a customer service agent, I want to create a call log for a ticket, so that communications are documented.","F-2","Attach call log to selected ticket on save."
"US-175","As a customer service agent, I want to create a call log for a ticket, so that communications are documented.","F-3","Display call log in ticket timeline."
"US-176","As a customer service agent, I want to edit an existing call log, so that corrections can be made.","F-1","Allow inline editing of call log text."
"US-176","As a customer service agent, I want to edit an existing call log, so that corrections can be made.","F-2","Save changes with versioning retained."
"US-176","As a customer service agent, I want to edit an existing call log, so that corrections can be made.","F-3","Disable editing after ticket is closed."
"US-177","As a customer service agent, I want to create a ticket action, so that follow-up tasks are assigned.","F-1","Present action form with due date and assignee."
"US-177","As a customer service agent, I want to create a ticket action, so that follow-up tasks are assigned.","F-2","Add action to ticket with status “Open”."
"US-177","As a customer service agent, I want to create a ticket action, so that follow-up tasks are assigned.","F-3","Send task notification to assignee upon creation."
"US-178","As a customer service agent, I want to edit a ticket action, so that task progress is updated.","F-1","Allow status change (Open, In-Progress, Done)."
"US-178","As a customer service agent, I want to edit a ticket action, so that task progress is updated.","F-2","Capture completion date automatically when status set to Done."
"US-178","As a customer service agent, I want to edit a ticket action, so that task progress is updated.","F-3","Log edits in action history."
"US-179","As an administrator, I want to manage user accounts, so that the right people have system access.","F-1","List all active and inactive user profiles."
"US-179","As an administrator, I want to manage user accounts, so that the right people have system access.","F-2","Enable add, edit, deactivate, and reactivate functions."
"US-179","As an administrator, I want to manage user accounts, so that the right people have system access.","F-3","Audit each change with admin ID and timestamp."
"US-180","As an administrator, I want to reset user passwords, so that locked or forgotten accounts can be restored quickly.","F-1","Provide “Reset Password” option on user profile."
"US-180","As an administrator, I want to reset user passwords, so that locked or forgotten accounts can be restored quickly.","F-2","Generate temporary password emailed to user."
"US-180","As an administrator, I want to reset user passwords, so that locked or forgotten accounts can be restored quickly.","F-3","Force password change on next login."
"US-181","As an administrator, I want to update the ticket round robin configuration, so that ticket assignment is evenly distributed.","F-1","Display list of agents included in round robin."
"US-181","As an administrator, I want to update the ticket round robin configuration, so that ticket assignment is evenly distributed.","F-2","Allow add/remove of agents and weight settings."
"US-181","As an administrator, I want to update the ticket round robin configuration, so that ticket assignment is evenly distributed.","F-3","Apply new configuration immediately to incoming tickets."
"US-182","As a SMART user, I want to choose my MFA device type and continue, so that I can begin multi-factor enrollment.","F-1","Display selectable options Mobile Phone and Landline."
"US-182","As a SMART user, I want to choose my MFA device type and continue, so that I can begin multi-factor enrollment.","F-2","Enable CONTINUE only when one option is chosen."
"US-182","As a SMART user, I want to choose my MFA device type and continue, so that I can begin multi-factor enrollment.","F-3","Redirect to phone-number entry screen after CONTINUE."
"US-183","As a SMART user, I want to enter and confirm my phone number, so that SMART can send MFA verification codes.","F-1","Accept country code and 10-digit phone number input."
"US-183","As a SMART user, I want to enter and confirm my phone number, so that SMART can send MFA verification codes.","F-2","Require user to tick “Verify this number” checkbox."
"US-183","As a SMART user, I want to enter and confirm my phone number, so that SMART can send MFA verification codes.","F-3","Enable CONTINUE when phone number passes format validation."
"US-183","As a SMART user, I want to enter and confirm my phone number, so that SMART can send MFA verification codes.","F-4","Store number in pending MFA profile."
"US-184","As a SMART user, I want to verify phone ownership via call or text, so that MFA enrollment is completed.","F-1","Provide CALL ME and TEXT ME buttons."
"US-184","As a SMART user, I want to verify phone ownership via call or text, so that MFA enrollment is completed.","F-2","Generate and transmit 6-digit one-time code."
"US-184","As a SMART user, I want to verify phone ownership via call or text, so that MFA enrollment is completed.","F-3","Accept code entry and validate against generated value."
"US-184","As a SMART user, I want to verify phone ownership via call or text, so that MFA enrollment is completed.","F-4","Enable VERIFY button only on 6-digit numeric input."
"US-184","As a SMART user, I want to verify phone ownership via call or text, so that MFA enrollment is completed.","F-5","Redirect to Settings page upon successful verify."
"US-185","As a SMART user, I want to review My Settings & Devices and continue to login, so that I know MFA is configured.","F-1","Display enrolled device number and method."
"US-185","As a SMART user, I want to review My Settings & Devices and continue to login, so that I know MFA is configured.","F-2","Provide CONTINUE TO LOGIN button."
"US-185","As a SMART user, I want to review My Settings & Devices and continue to login, so that I know MFA is configured.","F-3","Redirect to Duo login prompt after click."
"US-186","As a SMART user, I want a “Remember me for 60 days” option, so that I can bypass MFA on trusted devices temporarily.","F-1","Show 60-day checkbox on Duo prompt."
"US-186","As a SMART user, I want a “Remember me for 60 days” option, so that I can bypass MFA on trusted devices temporarily.","F-2","Persist trust token for 60 days per browser."
"US-186","As a SMART user, I want a “Remember me for 60 days” option, so that I can bypass MFA on trusted devices temporarily.","F-3","Skip MFA challenge when valid token present."
"US-186","As a SMART user, I want a “Remember me for 60 days” option, so that I can bypass MFA on trusted devices temporarily.","F-4","Expire token automatically on day 61."
"US-187","As a SMART user, I want to log in by selecting CALL ME, so that the system verifies me via phone call and redirects me.","F-1","Trigger automated call delivering approval prompt."
"US-187","As a SMART user, I want to log in by selecting CALL ME, so that the system verifies me via phone call and redirects me.","F-2","Confirm call acceptance before granting session token."
"US-187","As a SMART user, I want to log in by selecting CALL ME, so that the system verifies me via phone call and redirects me.","F-3","Redirect to default page after successful call verification."
"US-188","As a SMART user, I want to request new passcodes by text and log in, so that I can authenticate when calls are inconvenient.","F-1","Provide TEXT ME NEW CODES link on Duo dialog."
"US-188","As a SMART user, I want to request new passcodes by text and log in, so that I can authenticate when calls are inconvenient.","F-2","Send fresh 6-digit code via SMS instantly."
"US-188","As a SMART user, I want to request new passcodes by text and log in, so that I can authenticate when calls are inconvenient.","F-3","Validate entered passcode and grant access."
"US-188","As a SMART user, I want to request new passcodes by text and log in, so that I can authenticate when calls are inconvenient.","F-4","Redirect to default page post-login."
"US-189","As a first-time SMART user, I want to reset my password and set three security questions, so that my account meets policy.","F-1","Display password reset fields plus three question/answer pairs."
"US-189","As a first-time SMART user, I want to reset my password and set three security questions, so that my account meets policy.","F-2","Enforce password complexity rules on entry."
"US-189","As a first-time SMART user, I want to reset my password and set three security questions, so that my account meets policy.","F-3","Require non-duplicate security questions."
"US-189","As a first-time SMART user, I want to reset my password and set three security questions, so that my account meets policy.","F-4","Save credentials and questions after UPDATE."
"US-189","As a first-time SMART user, I want to reset my password and set three security questions, so that my account meets policy.","F-5","Redirect to default page on success."
"US-190","As a SMART user, I want My Dashboard to load automatically after login, so that I can start work immediately.","F-1","Make My Dashboard the default landing route."
"US-190","As a SMART user, I want My Dashboard to load automatically after login, so that I can start work immediately.","F-2","Display seven dashboard tabs on page load."
"US-190","As a SMART user, I want My Dashboard to load automatically after login, so that I can start work immediately.","F-3","Ensure page loads under 3 seconds for 90th percentile users."
"US-191","As a SMART user, I want a top navigation menu to reach any system module, so that I can access needed functions quickly.","F-1","Render persistent menu with listed modules."
"US-191","As a SMART user, I want a top navigation menu to reach any system module, so that I can access needed functions quickly.","F-2","Highlight current module contextually."
"US-191","As a SMART user, I want a top navigation menu to reach any system module, so that I can access needed functions quickly.","F-3","Provide hover or click drop-downs for sub-options."
"US-192","As a SMART user, I want the Loan tab to open its module options, so that I can choose Search, Loan Wizard, or PMC Queue.","F-1","Display three option links under Loan tab."
"US-192","As a SMART user, I want the Loan tab to open its module options, so that I can choose Search, Loan Wizard, or PMC Queue.","F-2","Route each link to its respective page."
"US-192","As a SMART user, I want the Loan tab to open its module options, so that I can choose Search, Loan Wizard, or PMC Queue.","F-3","Remember last-visited option within session."
"US-193","As a SMART user, I want the Mail tab to show NCF Queue and Document Wizard options, so that I can manage incoming mail.","F-1","List NCF Queue and Document Wizard beneath Mail tab."
"US-193","As a SMART user, I want the Mail tab to show NCF Queue and Document Wizard options, so that I can manage incoming mail.","F-2","Navigate correctly on option click."
"US-194","As a SMART user, I want the Servicing tab to give me a Search option, so that I can locate servicing records.","F-1","Render single Search link under Servicing."
"US-194","As a SMART user, I want the Servicing tab to give me a Search option, so that I can locate servicing records.","F-2","Route link to Servicing search page."
